,No,Initial_Seeds,Mutants,Regex (Mutants),Translated_Mutants,Regex (Translated_Mutants),Translation_Label,Mutants (RTT Translation),LEVEN,DFA,SBERT,BW_Label
10,11.0,"rows with the string <M0> or a vowel , 7 or more times","rows with the string <M0> or a vowel , no more than 7 times","( ( <M0> ) | ( [ <VOW> ] ) ) { , 7 }",字符串<M0>或元音的行，不超过7次,"( ( ~ ( [ <VOW> ] ) ) | ( [ <VOW> ] ) ) { , 7 }",bug,"string <M0> or vowel line , no more than 7 times",0.692307692,0.00016784412,0.950497183,correct
11,12.0,"rows with words that have a character , 2 or greater times","rows with words that have a character , two or greater times","\ b ( . ) { 2 , } \ b",带有两次以上字符的单词的行,. * \ b ( . ) + \ b . *,bug,lines of words with more than two characters,0.5,0.171567,0.8416266459999999,correct
12,13.0,"lines arranged with a character before the string <M0> , 4 or greater times","lines arranged with characters before the string <M0> , 4 or greater times","( . ) + . * ( ( <M0> ) { 4 , } ) . *",在字符串<M0>之前的字符排列的行，至少4次,"( . * . . * ) . * ( ( <M0> ) { , 4 } ) . *",correct,"the line of characters before the string <M0> , at least 4 times",0.647058824,0.0,0.917343824,correct
13,14.0,"lines arranged with a character before the string <M0> , 4 or greater times","lines arranged with a character before the string <M0> , four or greater times","( . ) . * ( ( <M0> ) { 4 , } ) . *",在字符串<M0>之前用字符排列的行四次或更多次,"( . ) + . * ( ( <M0> ) { 4 , } ) . *",correct,lines arranged in characters before the string <M0> four or more times,0.9285714290000001,1.0,0.978823643,correct
14,15.0,lines starting with the string <M0> in front of a lower-case letter or the string <M1>,strings starting with the string <M0> in front of a lower-case letter or the string <M1>,( ( <M0> ) ( . * ) ) . * ( ( [ <LOW> ] ) | ( <M1> ) ) . *,以小写字母前面的字符串<M0>或<M1>开头的字符串,( ( ( <M0> ) ( . * ) ) | ( [ <VOW> ] ) ) ( . * ),correct,the string starting with the string <M0> or <M1> before the lowercase letter,0.545454545,1.0232739000000001e-05,0.9744691990000001,correct
15,16.0,lines starting with the string <M0> in front of a lower-case letter or the string <M1>,lines beginning with the string <M0> in front of a lower-case letter or the string <M1>,( ( <M0> ) ( . * ) ) . * ( ( [ <LOW> ] ) | ( <M1> ) ) . *,以小写字母或字符串<M1>开头的字符串<M0>开头的行,( ( <M0> ) ( . * ) ) | ( ( [ <LOW> ] ) | ( <M1> ) ),bug,lines beginning with the string <M0> beginning with a lowercase letter or the string <M1>,0.818181818,0.41259,0.957737643,correct
16,17.0,lines with lettered words followed by the string <M0> or vowels at least once,lines with lettered words followed by the string <M0> or vowels at least one time,( ( [ <LET> ] . * <M0> . * ) | ( [ <VOW> ] ) + ) +,带有字母单词的行，后跟字符串<M0>或元音至少一次,( ( [ <LET> ] . * <M0> . * ) | ( [ <VOW> ] ) + ) +,correct,"lines with letter words , followed by the string <M0> or vowels at least once",1.0,1.0,0.987545048,correct
17,18.0,lines with lettered words followed by the string <M0> or vowels at least once,strings with lettered words followed by the string <M0> or vowels at least once,( ( [ <LET> ] . * <M0> . * ) | ( [ <VOW> ] ) + ) +,带有字母单词的字符串，后跟字符串<M0>或元音至少一次,( ( [ <CAP> ] . * <M0> . * ) | ( [ <VOW> ] ) ) +,correct,"a string with letter words , followed by the string <M0> or a vowel at least once",0.875,1.0,0.9693184109999999,correct
18,19.0,lines containing words that have starting with digits,lines composed of words that have starting with digits,. * \ b( [ <NUM> ] ) + ( . * ) \ b . *,由以数字开头的单词组成的行,. * ( [ <NUM> ] ) ( . * ) . *,correct,a line consisting of words starting with a number,0.7857142859999999,9.7713506e-05,0.933808438,correct
19,20.0,"lines with digits or letters , seven or greater times","strings with digits or letters , seven or greater times","(( [ <NUM> ] ) + |( [ <LET> ] ) + ) { 7 , }",带有数字或字母的字符串，七次或更多次,"( ( ( [ <NUM> ] ) + | ( [ <LET> ] ) + ) { 7 , } )",correct,"string with numbers or letters , seven or more times",0.857142857,1.0,0.969614614,correct
20,21.0,"lines with digits or letters , seven or greater times","lines arranged with digits or letters , seven or greater times","(( [ <NUM> ] ) + |( [ <LET> ] ) + ) { 7 , }",用数字或字母排列的行，七次或以上,"( . * ( [ <NUM> ] ) + | ( [ <LET> ] ) + . * ) { 7 , }",correct,"lines arranged by numbers or letters , seven times or more",0.75,0.031902,0.965750865,correct
21,22.0,"lines containing either a lower case letter , an upper case letter , or the string <M0> or the string <M1>","lines consisting of either a lower case letter , an upper case letter , or the string <M0> or the string <M1>",. * ( ( [ <LOW> ] ) | ( [ <CAP> ] ) | ( <M0> ) ) | ( <M1> ) . *,由小写字母，大写字母或字符串<M0>或字符串<M1>组成的行,. * ( ( [ <LET> ] ) + | ( [ <LET> ] ) + ) | ( <M1> ) . *,correct,"a line consisting of lowercase letters , uppercase letters or string <M0> or string <M1>",0.666666667,0.50781,0.957573586,correct
22,23.0,lines with a number in front of an upper case letter,lines with a digit in front of an upper case letter,( [ <NUM> ] ) . * ( [ <CAP> ] ) . *,在大写字母前面带有数字的行,( [ <NUM> ] ) + . * ( [ <LET> ] ) . *,correct,lines with numbers in front of capital letters,0.818181818,-1.0,0.8712587479999999,correct
23,24.0,lines with a number in front of an upper case letter,lines with a numeric character in front of an upper case letter,( [ <NUM> ] ) . * ( [ <CAP> ] ) . *,在大写字母前面带有数字字符的行,( [ <NUM> ] ) + . * ( [ <LET> ] ) + . *,correct,lines with numeric characters before capital letters,0.75,-1.0,0.8847885940000001,correct
24,25.0,lines with a lower-case letter before the string <M0> at least once,lines with a lower-case letter in front of the string <M0> at least once,( [ <LOW> ] ) . * ( ( <M0> ) + ) . *,字符串<M0>前面至少有一个小写字母的行,( ( [ <LET> ] ) + ) . * ( <M0> ) . *,bug,a line with at least one lowercase letter before the string <M0>,0.46153846200000004,0.0,0.9439999570000001,correct
25,26.0,"lines having either the string <M0> , a vowel , or the string <M1> before letters","lines having either the string <M0> , vowels , or the string <M1> before letters",( ( <M0> ) | ( [ <VOW> ] ) + | ( <M1> ) ) . *( [ <LET> ] ) + . *,在字母前具有字符串<M0>，元音或字符串<M1>的行,( ( <M0> ) | ( [ <VOW> ] ) + ) . * ( <M0> ) . *,correct,"lines with the string <M0> , vowels or string <M1> before the letter",0.727272727,0.00090009003,0.984789678,correct
26,27.0,"lines having either the string <M0> , a vowel , or the string <M1> before letters","lines having either the string <M0> , a vowel , or the string <M1> in front of letters",( ( <M0> ) | ( [ <VOW> ] ) | ( <M1> ) ) . *( [ <LET> ] ) + . *,在字母前具有字符串<M0>，元音或字符串<M1>的行,( ( <M0> ) | ( [ <VOW> ] ) + ) . * ( <M0> ) . *,correct,"lines with the string <M0> , vowels or string <M1> before the letter",0.7142857140000001,0.047619,0.963379028,correct
27,28.0,rows with words that have a character at least one time or the string <M0>,rows with a word that has a character at least one time or the string <M0>,\ b ( ( . ) + ) | ( <M0> ) \ b,包含至少一个字符的单词或字符串<M0>的行,( . * [ <NUM> ] . * ) +,bug,a line containing at least one character word or string <M0>,0.25,-1.0,0.904829461,correct
28,29.0,rows with words that have a character at least one time or the string <M0>,rows with words that have characters at least one time or the string <M0>,\ b ( ( . ) + + ) | ( <M0> ) \ b,包含至少一次字符的单词或字符串<M0>的行,( b ( <M0> ) + . * ),bug,a word or string <M0> line containing at least one character,0.384615385,False,0.905065075,correct
29,30.0,rows not having the string <M0> before a number,rows not having the string <M0> before digits,~ ( ( <M0> ) . *( [ <NUM> ] ) + . * ),在数字前没有字符串<M0>的行,( ~ ( <M0> ) ) . * ( [ <NUM> ] ) . *,correct,lines without the string <M0> before the number,0.642857143,1.0,0.895203368,correct
30,31.0,rows not having the string <M0> before a number,rows not having the string <M0> before numbers,~ ( ( <M0> ) . * ( [ <NUM> ] ) + . * ),在数字前没有字符串<M0>的行,( ~ ( <M0> ) ) . * ( [ <NUM> ] ) . *,correct,lines without the string <M0> before the number,0.642857143,1.0,0.898391387,correct
31,32.0,lines arranged with the string <M0> followed by a vowel and not a capital letter,lines arranged with the string <M0> followed by a vowel instead of a capital letter,( <M0> . * [ <VOW> ] . * ) & ( ~ ( [ <CAP> ] ) ),用字符串<M0>排列的行，后跟元音而不是大写字母,( <M0> . * [ <VOW> ] . * ) & ( ~ ( [ <LET> ] ) + ),correct,"lines arranged with the string <M0> , followed by vowels instead of capital letters",0.875,1.0,0.97278195,correct
32,33.0,lines arranged with the string <M0> followed by a vowel and not a capital letter,rows arranged with the string <M0> followed by a vowel and not a capital letter,( <M0> . * [ <VOW> ] . * ) & ( ~ ( [ <CAP> ] ) ),用字符串<M0>排列的行，后跟元音而不是大写字母,( <M0> . * [ <VOW> ] . * ) & ( ~ ( [ <LET> ] ) + ),correct,"lines arranged with the string <M0> , followed by vowels instead of capital letters",0.875,1.0,0.905041254,correct
33,34.0,"lines with words that have either the string <M0> , characters , or an uppercase letter , up to 6 times","lines with words that have either the string <M0> , characters , or an uppercase letter , up to six times","( \ b ( <M0> ) | ( . ) + | ( [ <CAP> ] ) \ b ) { , 6 }",包含<M0>，字符或大写字母的单词的行，最多六次,"( . * ( [ <NUM> ] ) | ( . ) + ) { 6 , } . *",bug,"lines containing words with <M0> , characters or capital letters , up to six times",0.470588235,0.15873,0.924775342,correct
34,35.0,"lines with a number , zero or more times in front of the string <M0>","rows with a number , zero or more times in front of the string <M0>",( ( [ <NUM> ] ) * ) . * ( <M0> ) . *,在字符串<M0>前面具有数字，零次或多次的行,( [ <NUM> ] ) . * ( ( <M0> ) * ) . *,correct,"lines with a number in front of the string <M0> , zero or more times",0.538461538,0.0096877,0.965641876,correct
35,36.0,"lines with a number , zero or more times in front of the string <M0>",lines with a number (zero or more times) in front of the string <M0>,( ( [ <NUM> ] ) * ) . * ( <M0> ) . *,在字符串<M0>前面带有数字（零次或多次）的行,( ( [ <NUM> ] ) + * ) . * ( <M0> ) . *,correct,"lines with numbers , zero or more times in front of the string <M0>",0.9285714290000001,False,0.983442633,correct
36,37.0,"lines with a word that has either a character , letters , or the string <M0>","lines with a word that has either characters , letters , or the string <M0>",\ b ( . ) + |( [ <LET> ] ) + | ( <M0> ) \ b,行中包含一个字符，字母或字符串<M0>的单词,( . * . . * ) | ( <M0> ) \ b,bug,"words containing one character , letter or string <M0> in the line",0.533333333,0.68625,0.920516742,correct
37,38.0,"lines with a word that has either a character , letters , or the string <M0>","strings with a word that has either a character , letters , or the string <M0>",\ b ( . ) |( [ <LET> ] ) + | ( <M0> ) \ b,带有包含字符，字母或字符串<M0>的单词的字符串,\ b . * ( . ) + | ( [ <LET> ] ) + . * \ b,correct,"string with words containing characters , letters or string <M0>",0.533333333,0.0376719,0.94769581,correct
38,39.0,rows not containing a number at least once,rows not containing a numeric character at least once,( . * ~ ( [ <NUM> ] ) . * ) +,至少一次不包含数字字符的行,\ b ~ ( ( [ <NUM> ] ) + + ) \ b,correct,lines that do not contain numeric characters at least once,0.363636364,False,0.90358745,correct
39,40.0,rows not containing a number at least once,rows not containing numbers at least once,( . * ~ ( [ <NUM> ] ) + . * ) +,至少一次不包含数字的行,\ b ~ ( ( [ <NUM> ] ) + + ) . *,correct,lines that do not contain numbers at least once,0.333333333,False,0.898034407,correct
40,41.0,lines containing an uppercase letter or a vowel and numbers,lines consisting of an uppercase letter or a vowel and numbers,. * ( ( [ <CAP> ] ) | ( [ <VOW> ] ) ) & ( [ <NUM> ] ) + . *,由大写字母或元音和数字组成的行,. * ( ( [ <LET> ] ) + | ( [ <VOW> ] ) + ) & ( [ <NUM> ] ) + . *,correct,lines consisting of capital letters or vowels and numbers,0.85,0.596153,0.9202909509999999,correct
41,42.0,lines containing an uppercase letter or a vowel and numbers,strings containing an uppercase letter or a vowel and numbers,. * ( ( [ <CAP> ] ) | ( [ <VOW> ] ) ) & ( [ <NUM> ] ) + . *,包含大写字母或元音和数字的字符串,. * ( ( [ <LET> ] ) + | ( [ <VOW> ] ) + ) & ( [ <NUM> ] ) + . *,correct,string containing uppercase letters or vowels and numbers,0.85,0.596153,0.9783211270000001,correct
42,43.0,lines ending with a string that contains only a letter or a character,the line ends with a string that contains only a letter or a character,( . * ) ( ( [ <LET> ] ) | ( . ) ),该行以仅包含字母或字符的字符串结尾,( . * ) ( ( [ <LET> ] ) + | ( . ) + ),correct,the line ends with a string containing only letters or characters,0.8666666670000001,0.8281,0.983958923,correct
43,44.0,"lines containing a character , 6 or more times","lines made up of a character , 6 or more times",". * ( . ) { 6 , } . *",由一个字符组成的行，至少6次,"( . * . . * ) { 3 , }",correct,"a line consisting of one character , at least 6 times",0.25,0.0,0.86073152,correct
44,45.0,"lines containing a character , 6 or more times","lines containing a character , six or more times",". * ( . ) { 6 , } . *",包含一个字符的行，六次或更多次,"( . * . . * ) { 6 , }",correct,"line containing one character , six or more times",0.375,0.0,0.971569723,correct
45,46.0,"lines arranged with a lower-case letter or a capitalized letter , 2 or greater times","lines arranged with a lower-case letter or an upper caseized letter , 2 or greater times","( ( [ <LOW> ] ) | ( [ <CAP> ] ) ) { 2 , }",用小写字母或大写字母排列的行，两次或更多次,"( ( [ <LOW> ] ) | ( [ <LET> ] ) ) { 2 , }",correct,"lines arranged in lowercase or uppercase letters , two or more times",0.9,0.257142,0.925369709,correct
46,47.0,"lines arranged with a lower-case letter or a capitalized letter , 2 or greater times","lines arranged with a lower-case letter or an uppercaseized letter , 2 or greater times","( ( [ <LOW> ] ) | ( [ <CAP> ] ) ) { 2 , }",行以小写字母或大写字母排列2次或更多次,"~ ( ( [ <LOW> ] ) | ( ( [ <CAP> ] ) { 2 , } ) )",correct,lines are arranged in lowercase or uppercase letters 2 or more times,0.692307692,-1.0,0.935410816,correct
47,48.0,lines starting with letters and containing the string <M0>,lines starting with letters and consisting of the string <M0>,(( [ <LET> ] ) + ( . * ) ) & ( . * <M0> . * ),以字母开头并由字符串<M0>组成的行,( ( [ <LET> ] ) ( . * ) ) & ( . * <M0> . * ),correct,a line starting with a letter and consisting of the string <M0>,0.944444444,1.0,0.979984561,correct
48,49.0,lines starting with letters and containing the string <M0>,lines starting with letters and made up of the string <M0>,(( [ <LET> ] ) + ( . * ) ) & ( . * <M0> . * ),以字母开头并由字符串<M0>组成的行,( ( [ <LET> ] ) ( . * ) ) & ( . * <M0> . * ),correct,a line starting with a letter and consisting of the string <M0>,0.944444444,1.0,0.96795731,correct
49,50.0,rows with characters and numbers before vowels,rows with characters and numbers in front of vowels,( ( . ) + & ( [ <NUM> ] ) + ) . * ( [ <VOW> ] ) + . *,元音前带有字符和数字的行,( ( . ) + & ( [ <NUM> ] ) + ) . * ( [ <VOW> ] ) + . *,correct,lines with characters and numbers before vowels,1.0,1.0,0.937161695,correct
50,51.0,"lines arranged with words that have either the string <M0> , a lower-case letter , or the string <M1>","lines arranged with a word that has either the string <M0> , a lower-case letter , or the string <M1>",\ b ( <M0> ) | ( [ <LOW> ] ) | ( <M1> ) \ b,包含单词<M0>，小写字母或字符串<M1>的单词排列的行,. * ( [ <LOW> ] ) | ( [ <LET> ] ) + . *,correct,"a line of words containing the word <M0> , lowercase letters or the string <M1>",0.307692308,0.0071942,0.9415156179999999,correct
51,52.0,"lines arranged with words that have either the string <M0> , a lower-case letter , or the string <M1>","lines arranged with words that have either the string <M0> , a lowercase letter , or the string <M1>",\ b ( <M0> ) | ( [ <LOW> ] ) | ( <M1> ) \ b,行排列的单词包含字符串<M0>，小写字母或字符串<M1>,\ b ( . * <M0> . * ) | ( <M1> ) . *,bug,"words arranged in rows contain the string <M0> , lowercase letters or the string <M1>",0.5,0.0064935,0.938356623,correct
52,53.0,lines with words that end with the string <M0> or the string <M1>,lines arranged with words that end with the string <M0> or the string <M1>,\ b ( . * ) ( ( <M0> ) | ( <M1> ) ) \ b,以单词<M0>或字符串<M1>结尾的单词排列的行,( . * ) ( ( <M0> ) | ( <M1> ) ),bug,lines arranged with words ending in the word <M0> or the string <M1>,0.8666666670000001,0.0158651,0.98462568,correct
53,54.0,lines ending with the string <M0>,rows ending with the string <M0>,( . * ) ( <M0> ),以字符串<M0>结尾的行,( . * ) ( <M0> ),correct,line ending with the string <M0>,1.0,1.0,0.949318732,correct
54,55.0,lines ending with the string <M0>,strings ending with the string <M0>,( . * ) ( <M0> ),以字符串<M0>结尾的字符串,( . * ) ( <M0> ),correct,string ending with the string <M0>,1.0,1.0,0.99377878,correct
55,56.0,"lines composed of either a capital letter , a character , or a numeric character","strings composed of either a capital letter , a character , or a numeric character",. * ( [ <CAP> ] ) | ( . ) | ( [ <NUM> ] ) . *,由大写字母，字符或数字字符组成的字符串,. * ( [ <LET> ] ) + | ( . ) + | ( . ) + . *,correct,"string consisting of uppercase letters , characters or numeric characters",0.7222222220000001,0.51364,0.885691157,correct
56,57.0,"lines composed of either a capital letter , a character , or a numeric character","lines composed of either an uppercase letter , a character , or a numeric character",. * ( [ <CAP> ] ) | ( . ) | ( [ <NUM> ] ) . *,由大写字母，字符或数字字符组成的行,. * ( [ <LET> ] ) + | ( . ) + | ( . ) + . *,correct,"lines consisting of uppercase letters , characters or numeric characters",0.7222222220000001,0.51364,0.946221245,correct
57,58.0,"lines with digits , 5 or more times","rows with digits , 5 or more times","( [ <NUM> ] ) { 5 , }",具有数字的行，连续5次或更多次,"( [ <NUM> ] ) + { 5 , }",correct,"rows with numbers , 5 or more consecutive times",0.8,False,0.9494921409999999,correct
58,59.0,"lines with words that have starting with a capitalized letter , 2 or more times in total","lines with words that have starting with a capitalized letter , 2 or more consecutive times in total","( \ b ( [ <CAP> ] ) ( . * ) \ b ) { 2 , }",以大写字母开头的单词行，总共连续2次或更多次,"( . * ) ( ( [ <CAP> ] ) { , , } ) . *",bug,"a line of words starting with a capital letter , a total of 2 or more consecutive times",0.333333333,-1.0,0.963300542,correct
59,60.0,"lines with words that have starting with a capitalized letter , 2 or more times in total","lines arranged with words that have starting with a capitalized letter , 2 or more times in total","( \ b ( [ <CAP> ] ) ( . * ) \ b ) { 2 , }",以大写字母开头的单词排列的行，总共2次或更多次,"( ( [ <CAP> ] ) ( . * ) ) { 2 , }",correct,"a line of words starting with a capital letter , a total of 2 or more times",0.833333333,0.0,0.93971791,correct
60,61.0,lines beginning with a lower-case letter in front of digits,lines beginning with a lowercase letter in front of digits,( ( [ <LOW> ] ) ( . * ) ) . *( [ <NUM> ] ) + . *,以数字前的小写字母开头的行,( ( [ <LOW> ] ) ( . * ) ) . * ( [ <NUM> ] ) . *,correct,lines beginning with a lowercase letter before the number,0.9411764709999999,1.0,0.9686484000000001,correct
61,62.0,"lines ending with vowels , zero or more times","lines ending with vowels , zero or more consecutive times",( ( . * ) ( [ <VOW> ] ) + ) *,以元音结尾的行，连续零次或更多次,( ( . * ) ( [ <VOW> ] ) ) *,correct,"a line ending in a vowel , zero or more consecutive times",0.9090909090000001,1.0,0.9282864479999999,correct
62,63.0,"lines ending with vowels , zero or more times","lines ending with vowels , zero or greater times",( ( . * ) ( [ <VOW> ] ) + ) *,以元音结尾的行，零次或更多次,( ( . * ) ( [ <VOW> ] ) ) *,correct,"lines ending in a vowel , zero or more times",0.9090909090000001,1.0,0.943067551,correct
63,64.0,"lines with a letter or containing the string <M0> , greater than or equal to zero times","lines with lettered words or containing the string <M0> , greater than or equal to zero times",(( [ <LET> ] ) + | ( . * <M0> . * ) ) *,带有字母的单词或包含字符串<M0>的行，大于或等于零倍,\ b ( [ <LET> ] ) + | ( ( . * ) ( [ <LET> ] ) ) \ b,correct,"words with letters or lines containing the string <M0> , greater than or equal to zero times",0.625,0.0379263,0.99208747,correct
64,65.0,"lines with a letter or containing the string <M0> , greater than or equal to zero times","lines with a letter or using the string <M0> , greater than or equal to zero times",( ( [ <LET> ] ) | ( . * <M0> . * ) ) *,字母或使用字符串<M0>的行，大于或等于零倍,( ( [ <LET> ] ) + | ( ( [ <LET> ] ) * ) ) *,bug,"letters or lines using the string <M0> , greater than or equal to zero times",0.642857143,1.0,0.990681197,correct
65,66.0,"lines with the string <M0> , 6 or more times before numbers","lines with the string <M0> , 6 or more times in total before numbers","( ( <M0> ) { 6 , } ) . * ( [ <NUM> ] ) + . *",字符串<M0>的行，数字前总共6次或更多次,"( ( . * <M0> . * ) { 6 , } ) . * ( [ <NUM> ] ) . *",bug,"the line of the string <M0> , a total of 6 or more times before the number",0.705882353,0.0,0.9756364820000001,correct
66,67.0,lines with a vowel or a numeric character in front of a capital letter,lines with vowels or a numeric character in front of a capital letter,( ( [ <VOW> ] ) + | ( [ <NUM> ] ) ) . * ( [ <CAP> ] ) . *,用元音或大写字母前的数字字符组成的行,. * ( ( . ) + . * ( [ <VOW> ] ) + . * ) | ( [ <LET> ] ) + . *,correct,a line consisting of numeric characters before vowels or capital letters,0.52173913,0.043859,0.945299399,correct
67,68.0,lines with a vowel or a numeric character in front of a capital letter,rows with a vowel or a numeric character in front of a capital letter,( ( [ <VOW> ] ) | ( [ <NUM> ] ) ) . * ( [ <CAP> ] ) . *,在大写字母前带有元音或数字字符的行,( ( [ <VOW> ] ) + | ( [ <NUM> ] ) + ) . * ( [ <LET> ] ) + . *,correct,lines with vowels or numeric characters before capital letters,0.7894736840000001,0.428571,0.90493642,correct
68,69.0,lines with a capital letter followed by the string <M0>,lines with a capitalized letter followed by the string <M0>,[ <CAP> ] . * <M0> . *,带有大写字母的行，后跟字符串<M0>,[ <LET> ] . * <M0> . *,correct,"line with capital letters , followed by the string <M0>",0.833333333,0.0,0.982788216,correct
69,70.0,lines with a capital letter followed by the string <M0>,lines with an upper case letter followed by the string <M0>,[ <CAP> ] . * <M0> . *,行带有大写字母，后跟字符串<M0>,\ b [ <LET> ] . * <M0> . * \ b,correct,"the line has uppercase letters , followed by the string <M0>",0.625,0.0,0.9367081270000001,correct
70,71.0,lines ending with the string <M0>,rows ending with the string <M0>,( . * ) ( <M0> ),以字符串<M0>结尾的行,( . * ) ( <M0> ),correct,line ending with the string <M0>,1.0,1.0,0.949318732,correct
71,72.0,lines ending with the string <M0>,the line ends with the string <M0>,( . * ) ( <M0> ),该行以字符串<M0>结尾,( . * ) ( <M0> ),correct,the line ends with the string <M0>,1.0,1.0,1.0,correct
72,73.0,rows preceded by a capital letter or vowels and a numeric character,rows preceded by an upper case letter or vowels and a numeric character,( ( [ <CAP> ] ) ( . * ) ) | ( ( [ <VOW> ] ) + & ( [ <NUM> ] ) ),大写字母或元音和数字字符开头的行,( ( ( [ <LET> ] ) + | ( [ <VOW> ] ) + ) & ( [ <VOW> ] ) + ) ( . * ),correct,lines beginning with capital letters or vowels and numeric characters,0.454545455,0.137376,0.776061198,correct
73,74.0,"lines arranged with the string <M0> before a string that is not a vowel , 2 or more times","lines arranged with the string <M0> before a string that is not a vowel , up to 2 times","( <M0> ) . * ( ~ ( ( [ <VOW> ] ) { , 2 } ) ) . *",在不是元音的字符串之前用字符串<M0>排列的行，最多2次,"( <M0> ) . * ( ~ ( ( [ <VOW> ] ) { , 2 } ) ) . *",correct,"lines arranged with the string <M0> before the string that is not a vowel , up to 2 times",1.0,1.0,0.999358388,correct
74,75.0,"strings preceded by the string <M0> , 6 or more times","strings preceded by the string <M0> , 6 or more times in total","( ( <M0> ) ( . * ) ) { 6 , }",字符串后跟字符串<M0>，总共6次或更多次,"( <M1> . * <M0> . * ) { 6 , }",bug,"the string is followed by the string <M0> , a total of 6 or more times",0.5,0.0,0.8872596420000001,correct
75,76.0,"strings preceded by the string <M0> , 6 or more times","strings preceded by the string <M0> , up to 6 times","( ( <M0> ) ( . * ) ) { , 6 }",字符串后跟字符串<M0>，最多6次,"( . * <M1> . * ) { , 6 }",bug,"string followed by string <M0> , up to 6 times",0.5,0.0,0.922524818,correct
76,77.0,lines arranged with a word that has the string <M0> followed by a character,strings arranged with a word that has the string <M0> followed by a character,\ b <M0> . * . . * \ b,包含单词<M0>和一个字符的单词排列的字符串,. * ( . * <M0> . * ) & ( . ) . *,bug,a string of words containing the word <M0> and one character,0.333333333,0.0,0.873372805,correct
