,Unnamed: 0,Mutants,Initial_Seeds,Mutants (Intermediate Language),Mutants (RTT Translation),BW_Label
64,66,"lines not containing only the string <M0> , no more than three times","lines not containing only the string <M0> , no more than 3 times",仅包含字符串<M0>的行，最多不超过三行,"only lines containing the string <M0> , no more than three lines",bug
65,67,"lines with digits , greater than or equal to 5 times","lines with digits , 5 or more times",位数大于或等于5倍的行,rows with digits greater than or equal to 5 times,bug
66,68,"rows with digits , 5 or more times","lines with digits , 5 or more times",具有数字的行，连续5次或更多次,"rows with numbers , 5 or more consecutive times",correct
67,69,"strings not having a character , not an upper case letter , nor a lower-case letter","lines not having a character , not an upper case letter , nor a lower-case letter",没有字符，没有大写字母或小写字母的字符串,"no characters , no uppercase or lowercase letters",bug
68,70,"lines with words that have starting with a capitalized letter , 2 or more consecutive times in total","lines with words that have starting with a capitalized letter , 2 or more times in total",以大写字母开头的单词行，总共连续2次或更多次,"a line of words starting with a capital letter , a total of 2 or more consecutive times",correct
69,71,"lines arranged with words that have starting with a capitalized letter , 2 or more times in total","lines with words that have starting with a capitalized letter , 2 or more times in total",以大写字母开头的单词排列的行，总共2次或更多次,"a line of words starting with a capital letter , a total of 2 or more times",correct
70,72,rows beginning with a lower-case letter in front of digits,lines beginning with a lower-case letter in front of digits,以数字开头的小写字母开头的行,lines starting with a lowercase letter beginning with a number,bug
71,73,lines beginning with a lowercase letter in front of digits,lines beginning with a lower-case letter in front of digits,以数字前的小写字母开头的行,lines beginning with a lowercase letter before the number,correct
72,74,"strings not containing only the string <M0> , no more than 3 times","lines not containing only the string <M0> , no more than 3 times",仅包含字符串<M0>的字符串，最多不超过3次,"only contain the string <M0> , no more than 3 times",bug
73,75,"lines ending with vowels , zero or more consecutive times","lines ending with vowels , zero or more times",以元音结尾的行，连续零次或更多次,"a line ending in a vowel , zero or more consecutive times",correct
74,76,"lines ending with vowels , zero or greater times","lines ending with vowels , zero or more times",以元音结尾的行，零次或更多次,"lines ending in a vowel , zero or more times",correct
75,77,"lines with lettered words or containing the string <M0> , greater than or equal to zero times","lines with a letter or containing the string <M0> , greater than or equal to zero times",带有字母的单词或包含字符串<M0>的行，大于或等于零倍,"words with letters or lines containing the string <M0> , greater than or equal to zero times",correct
76,78,"lines with a letter or using the string <M0> , greater than or equal to zero times","lines with a letter or containing the string <M0> , greater than or equal to zero times",字母或使用字符串<M0>的行，大于或等于零倍,"letters or lines using the string <M0> , greater than or equal to zero times",correct
77,79,"lines with the string <M0> , 6 or more times in total before numbers","lines with the string <M0> , 6 or more times before numbers",字符串<M0>的行，数字前总共6次或更多次,"the line of the string <M0> , a total of 6 or more times before the number",correct
78,80,lines with vowels or a numeric character in front of a capital letter,lines with a vowel or a numeric character in front of a capital letter,用元音或大写字母前的数字字符组成的行,a line consisting of numeric characters before vowels or capital letters,correct
79,81,rows with a vowel or a numeric character in front of a capital letter,lines with a vowel or a numeric character in front of a capital letter,在大写字母前带有元音或数字字符的行,lines with vowels or numeric characters before capital letters,correct
80,82,lines with a capitalized letter followed by the string <M0>,lines with a capital letter followed by the string <M0>,带有大写字母的行，后跟字符串<M0>,"line with capital letters , followed by the string <M0>",correct
81,83,lines with an upper case letter followed by the string <M0>,lines with a capital letter followed by the string <M0>,行带有大写字母，后跟字符串<M0>,"the line has uppercase letters , followed by the string <M0>",correct
82,84,rows ending with the string <M0>,lines ending with the string <M0>,以字符串<M0>结尾的行,line ending with the string <M0>,correct
83,85,the line ends with the string <M0>,lines ending with the string <M0>,该行以字符串<M0>结尾,the line ends with the string <M0>,correct
84,86,rows preceded by an upper case letter or vowels and a numeric character,rows preceded by a capital letter or vowels and a numeric character,大写字母或元音和数字字符开头的行,lines beginning with capital letters or vowels and numeric characters,correct
85,87,rows preceded by a capitalized letter or vowels and a numeric character,rows preceded by a capital letter or vowels and a numeric character,大写字母或元音和数字字符开头的行,lines beginning with capital letters or vowels and numeric characters,bug
86,88,"lines arranged with the string <M0> before a string that is not a vowel , up to 2 times","lines arranged with the string <M0> before a string that is not a vowel , 2 or more times",在不是元音的字符串之前用字符串<M0>排列的行，最多2次,"lines arranged with the string <M0> before the string that is not a vowel , up to 2 times",correct
87,89,"strings preceded by the string <M0> , 6 or more times in total","strings preceded by the string <M0> , 6 or more times",字符串后跟字符串<M0>，总共6次或更多次,"the string is followed by the string <M0> , a total of 6 or more times",correct
88,90,"strings preceded by the string <M0> , up to 6 times","strings preceded by the string <M0> , 6 or more times",字符串后跟字符串<M0>，最多6次,"string followed by string <M0> , up to 6 times",correct
89,91,strings arranged with a word that has the string <M0> followed by a character,lines arranged with a word that has the string <M0> followed by a character,包含单词<M0>和一个字符的单词排列的字符串,a string of words containing the word <M0> and one character,correct
90,92,rows arranged with a word that has the string <M0> followed by a character,lines arranged with a word that has the string <M0> followed by a character,包含单词<M0>和一个字符的单词的行,a line containing the word <M0> and a character word,bug
91,93,lines starting from the string <M0> in front of a string that is not an uppercase letter,lines starting with the string <M0> in front of a string that is not an uppercase letter,从不是大写字母的字符串前面的字符串<M0>开始的行,the line starting from the string <M0> before the string that is not a capital letter,correct
92,94,strings starting with the string <M0> in front of a string that is not an uppercase letter,lines starting with the string <M0> in front of a string that is not an uppercase letter,在不是大写字母的字符串前面的字符串<M0>开头的字符串,the string starting with the string <M0> before the string that is not a capital letter,correct
93,95,strings with the string <M0> or lettered words in front of a vowel,strings with the string <M0> or a letter in front of a vowel,字符串为<M0>的字符串或元音前面的字母单词,the string is the string of <M0> or the letter word before the vowel,correct
94,96,strings with the string <M0> or letters in front of a vowel,strings with the string <M0> or a letter in front of a vowel,带有<M0>的字符串或元音前面的字母,the string with <M0> or the letter before the vowel,correct
95,97,"lines with a lowercase letter , zero or greater times before a numeric character","lines with a lower-case letter , zero or greater times before a numeric character",小写字母的行，在数字字符前零次或多次,"lines of lowercase letters , zero or more times before the numeric character",correct
96,98,"lines with a lower case letter , zero or greater times before a numeric character","lines with a lower-case letter , zero or greater times before a numeric character",小写字母的行，在数字字符前零次或多次,"lines of lowercase letters , zero or more times before the numeric character",correct
97,99,rows are not words that end with a lower-case letter,lines are not words that end with a lower-case letter,行不是以小写字母结尾的单词,words that do not end in lowercase letters,bug
98,100,strings are not words that end with a lower-case letter,lines are not words that end with a lower-case letter,字符串不是以小写字母结尾的单词,the string is not a word ending in a lowercase letter,correct
99,101,"strings with words that have the string <M0> , zero or greater times or the string <M1>","strings with words that have the string <M0> , zero or more times or the string <M1>",字符串为<M0>，零次或更多次或字符串为<M1>的单词的字符串,"the character string is <M0> , zero or more times , or the character string is a word string of <M1>",correct
100,102,strings with words that have the string <M0> (zero or more times) or the string <M1>,"strings with words that have the string <M0> , zero or more times or the string <M1>",字符串为<M0>（零次或多次）或字符串为<M1>的单词的字符串,"the string is <M0> , zero or more times or the string is the word string of <M1>",correct
101,103,"lines not having lettered words , not a character , and not the string <M0>","lines not having a letter , not a character , and not the string <M0>",行没有字母单词，字符而不是字符串<M0>,"the line has no letter words , characters instead of strings <M0>",correct
102,104,"lines not having letters , not a character , and not the string <M0>","lines not having a letter , not a character , and not the string <M0>",行不包含字母，字符而不是字符串<M0>,"line does not contain letters , characters instead of string <M0>",correct
103,105,"lines made up of either the string <M0> , a lower case letter , or a capital letter","lines containing either the string <M0> , a lower case letter , or a capital letter",由字符串<M0>，小写字母或大写字母组成的行,"a line consisting of the string <M0> , lowercase letters or uppercase letters",correct
104,106,"lines containing either the string <M0> , a lower case letter , or a capitalized letter","lines containing either the string <M0> , a lower case letter , or a capital letter",包含字符串<M0>，小写字母或大写字母的行,"lines containing the string <M0> , lowercase letters or uppercase letters",correct
105,107,"lines with a numeric character before either the string <M0> , the string <M1> , or the string <M2>","lines with a number before either the string <M0> , the string <M1> , or the string <M2>",在字符串<M0>，字符串<M1>或字符串<M2>之前带有数字字符的行,"lines with numeric characters before the string <M0> , string <M1> or string <M2>",correct
106,108,"lines with a number in front of either the string <M0> , the string <M1> , or the string <M2>","lines with a number before either the string <M0> , the string <M1> , or the string <M2>",在字符串<M0>，字符串<M1>或字符串<M2>前面带有数字的行,"lines with numbers in front of the string <M0> , string <M1> or string <M2>",correct
107,109,strings with the string <M0> or a letter before the string <M1>,lines with the string <M0> or a letter before the string <M1>,字符串<M0>或字符串<M1>前的字母,the character string <M0> or the letter before the character string <M1>,correct
108,110,rows with the string <M0> or a letter before the string <M1>,lines with the string <M0> or a letter before the string <M1>,字符串<M0>或字符串<M1>前的字母的行,the line of the letter before the string <M0> or the string <M1>,correct
109,111,strings ending with a vowel at least one time or an upper case letter,strings ending with a vowel at least once or an upper case letter,至少以一次元音或大写字母结尾的字符串,a string that ends with a vowel or capital letter at least once,correct
110,112,strings ending with vowels at least once or an upper case letter,strings ending with a vowel at least once or an upper case letter,至少以一次元音或大写字母结尾的字符串,a string that ends with a vowel or capital letter at least once,correct
111,113,rows with a lower case letter or a capital letter before vowels,rows with a lower-case letter or a capital letter before vowels,在元音前带有小写字母或大写字母的行,lines with lowercase or uppercase letters before vowels,correct
112,114,rows with a lower-case letter or an uppercase letter before vowels,rows with a lower-case letter or a capital letter before vowels,元音前带有小写字母或大写字母的行,lines with lowercase or uppercase letters before vowels,correct
113,115,"lines arranged with the string <M0> and the string <M1> or the string <M2> , zero or greater times","lines arranged with the string <M0> and the string <M1> or the string <M2> , zero or more times",字符串<M0>和字符串<M1>或字符串<M2>排列的行，零次或更多次,"lines arranged by string <M0> and string <M1> or string <M2> , zero or more times",correct
114,116,"lines arranged with the string <M0> and the string <M1> or the string <M2> , zero or more times in total","lines arranged with the string <M0> and the string <M1> or the string <M2> , zero or more times",由字符串<M0>和字符串<M1>或字符串<M2>排列的行，总共零次或多次,"lines arranged by string <M0> and string <M1> or string <M2> , a total of zero or more times",correct
115,117,"lines not having a lowercase letter , not a character , instead of an upper case letter","lines not having a lowercase letter , not a character , and not an upper case letter",行没有小写字母，不是字符，而不是大写字母,"the line has no lowercase letters , not characters , not uppercase letters",correct
116,118,"strings ending with the string <M0> then a character , zero or more consecutive times","strings ending with the string <M0> then a character , zero or more times",以字符串<M0>结尾的字符串，然后是一个字符，连续零次或更多次,"a string ending with the string <M0> , then a character , zero or more consecutive times",correct
117,119,"strings ending with the string <M0> then a character , greater than or equal to zero times","strings ending with the string <M0> then a character , zero or more times",以字符串<M0>结尾的字符串，然后是一个大于或等于零倍的字符,"a string ending with the string <M0> , followed by a character greater than or equal to zero times",correct
118,120,"lines not having digits , not the string <M0> , instead of a lower case letter instead of the string <M1>","lines not having digits , not the string <M0> , instead of a lower-case letter instead of the string <M1>",没有数字的行，不是字符串<M0>，而不是小写字母，而不是字符串<M1>,"lines without numbers , not the string <M0> , not lowercase letters , not the string <M1>",correct
119,121,"rows not having digits , not the string <M0> , instead of a lower-case letter instead of the string <M1>","lines not having digits , not the string <M0> , instead of a lower-case letter instead of the string <M1>",没有数字的行，不是字符串<M0>，而不是小写字母，而不是字符串<M1>,"lines without numbers , not the string <M0> , not lowercase letters , not the string <M1>",correct
120,122,rows not having an upper caseized letter at least once,rows not having a capitalized letter at least once,至少一次没有大写字母的行,lines without capital letters at least once,correct
121,123,rows not having an uppercaseized letter at least once,rows not having a capitalized letter at least once,至少一次没有大写字母的行,lines without capital letters at least once,correct
122,124,"lines with a word that has a lower case letter or an upper case letter , 3 or greater times","lines with a word that has a lower-case letter or an upper case letter , 3 or greater times",带有3个或更多次小写字母或大写字母的单词的行,lines with words with 3 or more lowercase or uppercase letters,bug
123,125,"lines not having a lower-case letter , not lettered words , and not a numeric character","lines not having a lower-case letter , not a letter , and not a numeric character",没有小写字母，没有字母的单词和数字字符的行,"lines with no lowercase letters , words without letters and numeric characters",correct
124,126,"lines not having a lower-case letter , not letters , and not a numeric character","lines not having a lower-case letter , not a letter , and not a numeric character",行不包含小写字母，not字母和数字字符,"the line does not contain lowercase letters , not letters and numbers",correct
125,127,lines not having the string <M0> or starting from the string <M1>,lines not having the string <M0> or starting with the string <M1>,没有字符串<M0>或从字符串<M1>开始的行,no string <M0> or line starting from string <M1>,correct
126,128,lines consisting of the string <M0> before the string <M1> or letters,lines consisting of the string <M0> before the string <M1> or a letter,由字符串<M0>之前的字符串<M0>或字母组成的行,a line consisting of the string <M0> or letters before the string <M0>,correct
127,129,lines consisting of the string <M0> in front of the string <M1> or a letter,lines consisting of the string <M0> before the string <M1> or a letter,由字符串<M1>前面的字符串<M0>或字母组成的行,a line consisting of the string <M0> or letters before the string <M1>,correct
128,130,rows with words that have preceded by lettered words at least one time,rows with words that have starting with lettered words at least one time,带有至少有一次字母单词的单词的行,lines with words that have letter words at least once,correct
129,131,rows with words that have starting from lettered words at least one time,rows with words that have starting with lettered words at least one time,从字母单词开始至少一次的单词行,word lines that start at least once with a letter word,correct
130,132,strings with lettered words followed by the string <M0> before a vowel,strings with a letter followed by the string <M0> before a vowel,带字母单词的字符串，后跟元音前的字符串<M0>,"a string of letter words , followed by the string before the vowel <M0>",bug
131,133,strings with a letter followed by the string <M0> in front of a vowel,strings with a letter followed by the string <M0> before a vowel,带有字母的字符串，后跟元音前面的字符串<M0>,"a string with letters , followed by the string <M0> before the vowel",correct
132,134,lines containing letters before the string <M0>,lines containing a letter before the string <M0>,在字符串<M0>之前包含字母的行,lines containing letters before the string <M0>,correct
133,135,lines containing a letter in front of the string <M0>,lines containing a letter before the string <M0>,在字符串<M0>前面包含字母的行,lines containing letters before the string <M0>,correct
134,136,lines not having a lower-case letter nor a capital letter at least once,lines not having a lower-case letter and not a capital letter at least once,至少一次没有小写字母或大写字母的行,lines with no lowercase or uppercase letters at least once,correct
135,137,lines not having a lower-case letter and not an upper case letter at least once,lines not having a lower-case letter and not a capital letter at least once,至少一次没有小写字母和大写字母的行,at least one line without lowercase and uppercase letters,bug
136,138,"lines arranged with a lower-case letter before either the string <M0> , a number , or the string <M1>","lines with a lower-case letter before either the string <M0> , a number , or the string <M1>",在字符串<M0>，数字或字符串<M1>之前以小写字母排列的行,"lines arranged in lowercase letters before the string <M0> , number or string <M1>",correct
137,139,rows consisting of the string <M0>,lines consisting of the string <M0>,由字符串<M0>组成的行,line consisting of the string <M0>,correct
138,140,strings consisting of the string <M0>,lines consisting of the string <M0>,由字符串<M0>组成的字符串,string composed of string <M0>,correct
139,141,"rows containing either the string <M0> , characters , or the string <M1>","lines containing either the string <M0> , characters , or the string <M1>",包含字符串<M0>，字符或字符串<M1>的行,"line containing string <M0> , character or string <M1>",correct
140,142,"lines composed of either the string <M0> , characters , or the string <M1>","lines containing either the string <M0> , characters , or the string <M1>",由字符串<M0>，字符或字符串<M1>组成的行,"line consisting of string <M0> , character or string <M1>",correct
141,143,rows arranged with the string <M0> followed by the string <M1> and not the string <M2>,lines arranged with the string <M0> followed by the string <M1> and not the string <M2>,以字符串<M0>和字符串<M1>而不是字符串<M2>排列的行,lines arranged with string <M0> and string <M1> instead of string <M2>,correct
142,144,lines arranged with the string <M0> followed by the string <M1> instead of the string <M2>,lines arranged with the string <M0> followed by the string <M1> and not the string <M2>,行以字符串<M0>排列，后跟字符串<M1>而不是字符串<M2>,"the lines are arranged in the string <M0> , followed by the string <M1> instead of the string <M2>",correct
143,145,"strings not having characters , a lower-case letter , or numbers","lines not having characters , a lower-case letter , or numbers",没有字符，小写字母或数字的字符串,"string without characters , lowercase letters or numbers",correct
144,146,"rows not having characters , a lower-case letter , or numbers","lines not having characters , a lower-case letter , or numbers",没有字符，小写字母或数字的行,"lines with no characters , lowercase letters or numbers",correct
145,147,strings beginning with vowels and ending with the string <M0>,strings starting with vowels and ending with the string <M0>,以元音开头且以<M0>结尾的字符串,a string beginning with a vowel and ending with <M0>,correct
146,148,strings starting from vowels and ending with the string <M0>,strings starting with vowels and ending with the string <M0>,从元音开始并以字符串<M0>结尾的字符串,a string beginning with a vowel and ending with the string <M0>,correct
