,Unnamed: 0,Initial_Seeds,Translated_Initial_Seeds,Mutants,Translated_Mutants,Translation_Label,Translation_Label_Remark,LEVEN_Score,BLEU_Score
99,99,"lines composed of only the string <M0> , 7 or more times",仅由字符串<M0>组成的行，连续7次或更多次,"lines composed of only the string <M0> , 9 or more times",仅由字符串<M0>组成的行，9次或更多次,correct,,0.95,0.8606031409999999
100,100,"lines composed of only the string <M0> , 7 or more times",仅由字符串<M0>组成的行，连续7次或更多次,"lines composed of only the string <M0> , 10 or more times",仅由字符串<M0>组成的行，至少10次,correct,,0.75,0.6880908440000001
101,101,"lines composed of only the string <M0> , 7 or more times",仅由字符串<M0>组成的行，连续7次或更多次,"lines composed of only the string <M0> , 11 or more times",仅由字符串<M0>组成的行，连续11次或更多次,correct,,1.0,1.0
102,102,"lines composed of only the string <M0> , 7 or more times",仅由字符串<M0>组成的行，连续7次或更多次,"lines composed of only the string <M0> , 8 or more times",仅由字符串<M0>组成的行，至少8次,correct,,0.75,0.6885159829999999
103,103,"lines composed of only the string <M0> , 7 or more times",仅由字符串<M0>组成的行，连续7次或更多次,"lines composed of only the string <M0> , 6 or more times",仅由字符串<M0>组成的行，至少6次,correct,,0.75,0.6885159829999999
104,104,"lines with characters or a lower-case letter , four or more times",四行或更多行包含字符或小写字母的行,"lines with characters or a lower-case letter , seven or more times",带有字符或小写字母的行，七次或更多次,correct,,0.3125,0.605782443
105,105,"rows with words that have a character , 2 or greater times",包含2个或更多字符的单词的行,"rows with words that have a character , 1 or greater times",字数大于或等于1的行,bug,,0.25,6.223599999999998e-155
106,106,"rows with words that have a character , 2 or greater times",包含2个或更多字符的单词的行,"rows with words that have a character , 3 or greater times",具有3个或更多字符的单词的行,correct,ambiguity,0.916666667,0.903602004
107,107,"rows with words that have a character , 2 or greater times",包含2个或更多字符的单词的行,"rows with words that have a character , 4 or greater times",包含4个或更多字符的单词的行,correct,,1.0,1.0
108,108,"lines with a character then a lower-case letter , two or more consecutive times",连续两个或多个连续的字符行和一个小写字母,"lines with a character then a lower-case letter , four or more consecutive times",连续四次或更多次用字符后接小写字母的行,correct,,0.444444444,0.23381353800000002
109,109,"lines ending with the string <M0> or a vowel , 4 or more times",以字符串<M0>或元音结尾的行4次或更多次,"lines ending with the string <M0> or a vowel , 7 or more times",以字符串<M0>或元音结尾的行7次或更多次,correct,,1.0,1.0
110,110,"lines ending with the string <M0> or a vowel , 4 or more times",以字符串<M0>或元音结尾的行4次或更多次,"lines ending with the string <M0> or a vowel , 9 or more times",以字符串<M0>或元音结尾的行9次或更多次,correct,,1.0,1.0
111,111,"lines ending with the string <M0> or a vowel , 4 or more times",以字符串<M0>或元音结尾的行4次或更多次,"lines ending with the string <M0> or a vowel , 1 or more times",以字符串<M0>或元音结尾的行1次或更多次,correct,,1.0,1.0
112,112,"lines ending with the string <M0> or a vowel , 4 or more times",以字符串<M0>或元音结尾的行4次或更多次,"lines ending with the string <M0> or a vowel , 8 or more times",以字符串<M0>或元音结尾的行8次或更多次,correct,,1.0,1.0
113,113,"lines ending with the string <M0> or a vowel , 4 or more times",以字符串<M0>或元音结尾的行4次或更多次,"lines ending with the string <M0> or a vowel , 3 or more times",以字符串<M0>或元音结尾的行3次或更多次,correct,,1.0,1.0
114,114,"strings starting with words that have the string <M0> , 6 or more times",以具有<M0>字符串的单词开头，至少6次的字符串,"strings starting with words that have the string <M0> , 7 or more times",以具有<M0>字符串的单词开头的字符串，其出现7次或更多次,correct,,0.62962963,0.637886827
115,115,"strings starting with words that have the string <M0> , 6 or more times",以具有<M0>字符串的单词开头，至少6次的字符串,"strings starting with words that have the string <M0> , 9 or more times",以具有<M0>字符串的单词开头的字符串，该字符串等于或大于9次,bug,,0.620689655,0.591156435
116,116,"strings starting with words that have the string <M0> , 6 or more times",以具有<M0>字符串的单词开头，至少6次的字符串,"strings starting with words that have the string <M0> , 10 or more times",以包含字符串<M0>的单词开头，至少10次的字符串,correct,,0.818181818,0.7131769240000001
117,117,"strings starting with words that have the string <M0> , 6 or more times",以具有<M0>字符串的单词开头，至少6次的字符串,"strings starting with words that have the string <M0> , 12 or more times",以包含字符串<M0>的单词开头的字符串，其字符串为12或更多次,correct,,0.46428571399999996,0.387573894
118,118,"strings starting with words that have the string <M0> , 6 or more times",以具有<M0>字符串的单词开头，至少6次的字符串,"strings starting with words that have the string <M0> , 11 or more times",以包含字符串<M0>的单词开头的字符串，其字符串为11或更多次,correct,,0.46428571399999996,0.387573894
119,119,"lines ending with a character followed by the string <M0> , 4 or greater times",以字符结尾的行，其后跟字符串<M0>，4次或更多次,"lines ending with a character followed by the string <M0> , 7 or greater times",以字符结尾的行，后跟字符串<M0>，7次或更多次,correct,,0.958333333,0.8862476420000001
120,120,"lines ending with a character followed by the string <M0> , 4 or greater times",以字符结尾的行，其后跟字符串<M0>，4次或更多次,"lines ending with a character followed by the string <M0> , 9 or greater times",以字符结尾的行，后跟字符串<M0>，9次或更多次,correct,,0.958333333,0.8862476420000001
121,121,"lines ending with a character followed by the string <M0> , 4 or greater times",以字符结尾的行，其后跟字符串<M0>，4次或更多次,"lines ending with a character followed by the string <M0> , 1 or greater times",以字符结尾的行，后跟字符串<M0>，1次或更多次,correct,,0.958333333,0.8862476420000001
122,122,"lines ending with a character followed by the string <M0> , 4 or greater times",以字符结尾的行，其后跟字符串<M0>，4次或更多次,"lines ending with a character followed by the string <M0> , 8 or greater times",以字符结尾的行，后跟字符串<M0>，8次或更多次,correct,,0.958333333,0.8862476420000001
123,123,"lines ending with a character followed by the string <M0> , 4 or greater times",以字符结尾的行，其后跟字符串<M0>，4次或更多次,"lines ending with a character followed by the string <M0> , 3 or greater times",以字符结尾的行，后跟字符串<M0>，3次或更多次,correct,,0.958333333,0.8862476420000001
124,124,"lines not having a digit , not a letter , and not a lower-case letter",没有数字，字母和小写字母的行,"lines not having a digit , n't a letter , and not a lower-case letter",没有数字，不是字母，也不是小写字母的行,bug,wrong mutants,0.764705882,0.63160377
125,125,lines not starting with letters and not a capital letter,行不是以字母开头也不是大写字母,lines not starting with letters and n't a capital letter,行不是以字母开头并且不是大写字母,bug,wrong mutants,1.0,1.0
