ID,Label_On_Original_Evaluator1,Label_On_Mutants_Evaluator1,Label_On_Original_Evaluator2,Label_On_Mutants_Evaluator2,Remark_Evaluator2,Label_On_Original_Consistent,Label_On_Mutants_Consistent
125,correct,correct,correct,correct,,correct,correct
126,correct,correct,correct,correct,,correct,correct
127,correct,correct,correct,correct,,correct,correct
128,correct,correct,correct,correct,,correct,correct
129,correct,correct,correct,correct,,correct,correct
130,correct,correct,correct,correct,,correct,correct
131,bug,correct,bug,correct,,bug,correct
132,correct,bug,correct,bug,,correct,bug
133,correct,correct,correct,correct,,correct,correct
134,correct,bug,correct,bug,,correct,bug
135,correct,correct,correct,correct,,correct,correct
136,correct,correct,correct,correct,,correct,correct
137,correct,correct,correct,correct,,correct,correct
138,correct,correct,correct,correct,example,correct,correct
139,correct,correct,correct,correct,,correct,correct
140,correct,correct,correct,correct,ambiguity,correct,correct
141,correct,correct,correct,correct,,correct,correct
142,correct,bug,correct,bug,,correct,bug
143,correct,bug,correct,bug,ambiguity,correct,bug
144,correct,correct,correct,correct,,correct,correct
145,bug,bug,bug,bug,,bug,bug
146,correct,bug,correct,bug,,correct,bug
147,correct,correct,bug,bug,ambiguity,bug,bug
148,correct,correct,correct,correct,,correct,correct
149,correct,correct,correct,correct,,correct,correct
150,correct,correct,correct,correct,,correct,correct
151,correct,correct,correct,correct,,correct,correct
152,correct,correct,correct,correct,ambiguity,correct,correct
153,correct,correct,correct,correct,,correct,correct
154,correct,correct,correct,correct,,correct,correct
155,correct,correct,correct,correct,,correct,correct
156,correct,correct,correct,correct,,correct,correct
157,correct,correct,correct,correct,,correct,correct
158,correct,bug,correct,bug,,correct,bug
159,correct,correct,correct,correct,,correct,correct
160,correct,correct,correct,correct,,correct,correct
161,correct,correct,correct,bug,ambiguity,correct,correct
162,correct,correct,correct,correct,,correct,correct
163,correct,correct,correct,correct,,correct,correct
164,correct,correct,correct,correct,,correct,correct
165,correct,correct,correct,correct,,correct,correct
166,correct,correct,correct,correct,,correct,correct
167,correct,correct,correct,bug,ambiguity,correct,bug
168,correct,correct,correct,correct,,correct,correct
169,correct,correct,correct,correct,,correct,correct
170,correct,correct,correct,correct,,correct,correct
171,correct,correct,correct,correct,,correct,correct
172,correct,correct,correct,correct,,correct,correct
