No.,Buggy_Trip_Plural_Evaluator1,Buggy_Trip_Plural_Evaluator2,Buggy_Trip_Plural_Consistent,Translation_Label_Evaluator1,Translation_Label_Evaluator2,Translation_Label_Consistent,Bug_Type_Evaluator1,Bug_Type_Evaluator2,Bug_Type_Consistent,Source_Sentence,Source_Regex,Intermediate_Sentence,Translated_Sentence,Translated_Regex,LEVEN,LEVEN_Norm,Dep_Distance,DEP,DEP_Norm,SBERT,SBERT_Norm,BLEU,BLEU_Norm,REG,REG_Norm,DFA_Raw,DFA,DFA_Norm,HYB,HYB_Norm
21,c,,None,correct,correct,correct,,,,"lines having either the string <M0> , the string <M1> , or the string <M2> before the string <M3>",( ( <M0> ) | ( <M1> ) | ( <M2> ) ) . * ( <M3> ) . *,在字符串<M3>之前具有字符串<M0>，字符串<M1>或字符串<M2>的行,"line with string <M0> , string <M1> or string <M2> before the string <M3>","( ( <M0> ) { ( , ) } . * ( <M3> ) . * )",0.742268041,0.720506428,9,0.608695652,0.52631579,0.981537447,0.949214971,0.6748647109999999,0.582440372,0.5,0.428571429,False,0.0,0.0,0.25,0.2
22,p,,p,bug,correct,bug,,,,"rows with the string <M0> before a lower-case letter , 6 or more times","( <M0> ) . * ( ( [ <LOW> ] ) { 6 , } ) . *",小写字母前的字符串<M0>的行，连续6次或更多次,"the line of the string <M0> before lowercase letters , 6 or more consecutive times","( ( <M0> ) ( . * ) ) . * ( ( [ <LET> ] ) { 6 , } ) . *",0.682926829,0.648131455,1,0.956521739,0.947368421,0.944243278,0.833272308,0.674566963,0.582020237,0.6315789470000001,0.578947368,-1.0,0.0,0.0,0.31578947399999996,0.27017543899999996
23,p,plural,p,bug,bug,bug,,,,lines starting with numbers then the string <M0> or the string <M1>,( ( [ <NUM> ] . * <M0> . * ) | ( <M1> ) ) ( . * ),以数字开头的行，然后是字符串<M0>或字符串<M1>,"lines beginning with a number , followed by the string <M0> or the string <M1>",( ( [ <NUM> ] . * <M0> . * ) | ( <M1> ) ) ( . * ),0.7435897440000001,0.722118431,7,0.695652174,0.6315789479999999,0.985138025,0.960408695,0.672734782,0.579434954,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,c,,None,correct,correct,correct,,,,"lines not having the string <M0> , not characters , nor the string <M1>",~ ( ( <M0> ) & ( . ) + & ( <M1> ) ),行没有字符串<M0>，没有字符，也没有字符串<M1>,"line has no string <M0> , no characters , no string <M1>",\ b ( <M0> ) & ( . ) + & ( <M1> ) \ b,0.7464788729999999,0.725642131,10,0.565217391,0.47368421,0.9820402140000001,0.950778008,0.672697821,0.5793828000000001,0.8,0.771428571,1.0,1.0,1.0,0.9,0.893333333
25,FW,FW,FW,bug,bug,bug,"quantifier, under-translation",semantic,"quantifier, under-translation",lines ending with the string <M0> at least once in front of vowels,( ( . * ) ( ( <M0> ) + ) ) . * ( [ <VOW> ] ) + . *,在元音之前至少以字符串<M0>结尾的行,the line ending with at least the string <M0> before the vowel,( ( . * ) ( <M0> ) ) . * ( ( <M0> ) . * ( <M1> ) . * ),0.46969697,0.388067582,5,0.7826086959999999,0.7368421059999999,0.923575044,0.7690174879999999,0.6726942029999999,0.579377695,0.565217391,0.50310559,0.0,0.0,0.0,0.282608696,0.23478260899999998
26,FW,FW,FW,bug,bug,bug,affiliation,affiliation,affiliation,lines containing letters in front of the string <M0> or numbers,. * (( [ <LET> ] ) + . * ( <M0> ) . * ) | ( [ <NUM> ] ) + . *,在字符串<M0>前面包含字母的行或数字,lines or numbers containing letters in front of the string <M0>,( ~ ( [ <NUM> ] ) ) | ( ( [ <NUM> ] ) + . * ( <M0> ) . * ),0.650793651,0.6089405139999999,0,1.0,1.0,0.99642267,0.995491171,0.970787721,1.0,0.363636364,0.272727273,-1.0,0.0,0.0,0.181818182,0.127272727
27,p,plural,p,bug,bug,bug,,,,lines containing the string <M0> or a capital letter followed by a character,( . * <M0> . * ) | ( [ <CAP> ] . * . . * ),包含字符串<M0>或大写字母后跟一个字符的行,lines containing the string <M0> or capital letters followed by a character,( . * <M0> . * ) | ( [ <CAP> ] . * . . * ),0.9605263159999999,0.9867031629999999,1,0.956521739,0.947368421,0.9963643990000001,0.9953100140000001,0.942348693,0.9598713529999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,p,plural,p,bug,bug,bug,,,,lines containing characters or a lowercase letter,. * ( . ) + | ( [ <LOW> ] ) . *,包含字符或小写字母的行,lines containing characters or lowercase letters,. * ( . ) + | ( [ <LET> ] ) . *,0.93877551,0.9601749890000001,1,0.956521739,0.947368421,0.993859548,0.987522762,0.9419205070000001,0.959267165,0.916666667,0.904761905,1.0,1.0,1.0,0.958333333,0.955555556
29,p,plural,p,bug,bug,bug,,,,lines containing the string <M0> or a capital letter followed by characters,( . * <M0> . * ) | ( [ <CAP> ] . * . . * ),包含字符串<M0>或大写字母后跟字符的行,lines containing the string <M0> or capital letters followed by characters,( . * <M0> . * ) | ( [ <CAP> ] . * . . * ),0.96,0.9860612470000001,1,0.956521739,0.947368421,0.9968541059999999,0.996832449,0.9415549459999999,0.958751343,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,c,,None,correct,correct,correct,,,,"lines ending with the string <M0> followed by a character , up to 3 times","( ( . * ) ( <M0> . * . . * ) ) { , 3 }",以字符串<M0>结尾的行，后跟一个字符，最多3次,"line ending with the string <M0> , followed by a character , up to 3 times","( ( . * ) ( <M0> . * . . * ) ) { , 3 }",0.9594594590000001,0.985401981,1,0.956521739,0.947368421,0.9959807759999999,0.9941173809999999,0.940739008,0.957600021,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,p,plural,p,bug,bug,bug,,,,"the line starts with the string <M0> , 4 or more consecutive times or a capital letter","( ( ( <M0> ) { 4 , } ) | ( [ <CAP> ] ) ) ( . * )",该行以字符串<M0>开头，连续4次或更多次或使用大写字母,"the line starts with the string <M0> , 4 or more consecutive times or use capital letters","( ( ( <M0> ) { 4 , } ) | ( [ <CAP> ] ) ) ( . * )",0.95505618,0.980031561,4,0.826086957,0.789473685,0.974762522,0.928152621,0.9368796070000001,0.952154246,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,c,,None,correct,correct,correct,,,,"the line ends with the string <M0> or the string <M1> , 2 or more times","( ( ( . * ) ( <M0> ) ) | ( <M1> ) ) { 2 , }",该行以字符串<M0>或字符串<M1>结尾，两次或更多次,"the line ends with the string <M0> or the string <M1> , two or more times","( ( ( . * ) ( <M0> ) ) | ( <M1> ) ) { 2 , }",0.95890411,0.9847246540000001,0,1.0,1.0,0.993617647,0.986770723,0.936850882,0.9521137140000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,FW,ambiguity,FW,bug,bug,bug,affiliation,affiliation,affiliation,"lines not containing only the string <M0> , greater than or equal to 0 times",~ ( ( <M0> ) * ),仅包含字符串<M0>的行，大于或等于0次,"lines containing only the string <M0> , greater than or equal to 0 times",( . * <M0> . * ) *,0.947368421,0.970655255,1,0.956521739,0.947368421,0.962857228,0.891140629,0.9359902520000001,0.9508993290000001,0.375,0.28571428600000004,0.0,0.0,0.0,0.1875,0.133333333
34,p,plural,p,bug,bug,bug,,,,lines containing vowels or a capital letter,. * ( [ <VOW> ] ) + | ( [ <CAP> ] ) . *,包含元音或大写字母的行,lines containing vowels or capital letters,. * ( [ <VOW> ] ) + | ( [ <LET> ] ) + . *,0.9302325579999999,0.949755655,1,0.956521739,0.947368421,0.9903081140000001,0.9764818209999999,0.93347503,0.947350247,0.846153846,0.8241758240000001,0.593077,0.5930770000000001,0.5930770000000001,0.7196154229999999,0.700923118
35,p,plural,p,bug,bug,bug,,,,lines containing vowels and a character before the string <M0>,( . * [ <VOW> ] . * ) & ( ( . ) . * ( <M0> ) . * ),包含元音和字符串<M0>前面的字符的行,lines containing vowels and characters before the string <M0>,( . * ( [ <VOW> ] ) + & ( . ) + . * ) . * ( <M0> ) . *,0.951612903,0.9758319990000001,3,0.869565217,0.842105263,0.995513302,0.992664065,0.9288091070000001,0.940766436,0.590909091,0.5324675320000001,0.07874,0.07874,0.07874,0.334824545,0.290479515
36,c,plural,p,correct,bug,correct,,,,"lines with a vowel or the string <M0> , no more than 3 times","( ( [ <VOW> ] ) | ( <M0> ) ) { , 3 }",带有元音或字符串<M0>的行，最多不超过3次,"lines with vowels or the string <M0> , no more than 3 times","( ( [ <VOW> ] ) + | ( <M0> ) ) { , 3 }",0.95,0.973864837,1,0.956521739,0.947368421,0.97759201,0.936949127,0.92633661,0.937277641,0.9090909090000001,0.896103896,0.09909,0.09909,0.09909,0.504090455,0.471029818
37,c,,None,correct,correct,correct,,,,lines consisting of the string <M0>,. * <M0> . *,由字符串<M0>组成的行,line consisting of the string <M0>,. * <M0> . *,0.9714285709999999,1.0,0,1.0,1.0,0.9945265240000001,0.989596302,0.9243310579999999,0.9344477240000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,BW,BW,BW,bug,bug,bug,order,affiliation,affiliation,lines with a number followed by a character at least once,( [ <NUM> ] . * . . * ) +,用数字后跟一个字符的行至少一次,a line followed by a character with a number at least once,( [ <LET> ] . * . . * ) +,0.5,0.425026399,5,0.7826086959999999,0.7368421059999999,0.987165278,0.966711157,0.923685797,0.9335372340000001,0.8888888890000001,0.8730158729999999,0.0,0.0,0.0,0.444444444,0.40740740700000005
39,FW,ambiguity,FW,bug,bug,bug,affiliation,affiliation,affiliation,"lines not containing only the string <M0> , no more than 3 times","~ ( ( <M0> ) { , 3 } )",仅包含字符串<M0>的行，最多不超过3次,"lines containing only the string <M0> , no more than 3 times","( . * <M0> . * ) { , 3 }",0.9375,0.958619325,1,0.956521739,0.947368421,0.983855606,0.956421823,0.9236335290000001,0.933463481,0.25,0.14285714300000002,0.0,0.0,0.0,0.125,0.066666667
40,FW,BW,FW,bug,bug,bug,quantifier ,quantity,quantifier,"lines with a number , zero or more times in front of the string <M0>",( ( [ <NUM> ] ) * ) . * ( <M0> ) . *,在字符串<M0>前面有数字，零次或多次的行,"lines with numbers in front of the string <M0> , zero or more times",( [ <NUM> ] ) + . * ( ( <M0> ) * ) . *,0.397058824,0.299475123,1,0.956521739,0.947368421,0.992466087,0.983190675,0.9233275040000001,0.9330316670000001,0.571428571,0.510204082,0.0096877,0.0096877,0.0096877,0.290558136,0.24326201100000003
41,c,,None,correct,correct,correct,,,,the line starts with a capitalized letter before the string <M0> or the string <M1>,( ( [ <CAP> ] ) ( . * ) ) . * ( ( <M0> ) | ( <M1> ) ) . *,该行以大写字母开头，在字符串<M0>或字符串<M1>之前,"the line starts with a capital letter , before the string <M0> or the string <M1>",( ( [ <CAP> ] ) ( . * ) ) . * ( ( <M0> ) | ( <M1> ) ) . *,0.927710843,0.9466800679999999,5,0.7826086959999999,0.7368421059999999,0.9935969509999999,0.986706382,0.922793392,0.932278013,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,p,plural,p,bug,bug,bug,,,,"rows with a capital letter in front of a string that is not the string <M0> , zero or more times",( [ <CAP> ] ) . * ( ~ ( ( <M0> ) * ) ) . *,在不是字符串<M0>的字符串前面带有大写字母的行，零次或多次,"lines with capital letters in front of a string that is not the string <M0> , zero or more times",( [ <LET> ] ) . * ( ~ ( ( <M0> ) * ) ) . *,0.927083333,0.9459147309999999,3,0.869565217,0.842105263,0.974681461,0.9279006129999999,0.922785104,0.9322663179999999,0.9375,0.9285714290000001,-1.0,0.0,0.0,0.46875,0.433333333
43,BW,,None,bug,correct,correct,,,,"lines containing ending with the string <M0> , greater than or equal to 7 times","( . * ( . * ) ( <M0> ) . * ) { 7 , }",包含以字符串<M0>结尾的行，大于或等于7次,"contains lines ending with the string <M0> , greater than or equal to 7 times","( . * ( . * ) ( <M0> ) . * ) { 7 , }",0.8607594940000001,0.8650234590000001,2,0.913043478,0.894736842,0.993201533,0.98547708,0.921823175,0.9309089970000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,BW,FW,BW,bug,bug,bug,quantifier ,quantity,quantifier,"lines arranged with the string <M0> before a string that is not a vowel , 2 or more times","( <M0> ) . * ( ~ ( ( [ <VOW> ] ) { 2 , } ) ) . *",在不是元音的字符串之前用字符串<M0>排列的行2次或更多次,lines arranged with the string <M0> 2 or more times before the string that is not a vowel,"( ( <M0> ) { 2 , } ) . * ( ~ ( [ <VOW> ] ) ) . *",0.5842696629999999,0.527805133,5,0.7826086959999999,0.7368421059999999,0.993292763,0.985760702,0.9217085770000001,0.9307472940000001,0.625,0.571428571,1.5258556000000003e-05,1.5258599999999998e-05,1.5258599999999998e-05,0.312507629,0.266674805
45,c,,None,correct,correct,correct,,,,the line starts with a vowel or containing the string <M0>,( ( [ <VOW> ] ) ( . * ) ) | ( . * <M0> . * ),该行以元音开头或包含字符串<M0>,the line starts with a vowel or contains the string <M0>,( ( [ <VOW> ] ) ( . * ) ) | ( . * <M0> . * ),0.948275862,0.971762007,0,1.0,1.0,0.9978729820000001,1.0,0.919995282,0.9283297640000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,c,,None,correct,correct,correct,,,,lines with lettered words followed by the string <M0> or vowels at least once,( ( [ <LET> ] . * <M0> . * ) | ( [ <VOW> ] ) + ) +,带有字母单词的行，后跟字符串<M0>或元音至少一次,lines with letter words followed by the string <M0> or vowel at least once,( [ <LET> ] . * <M0> . * ) | ( ( [ <VOW> ] ) + ),0.961038961,0.9873284059999999,4,0.826086957,0.789473685,0.982008944,0.950680794,0.919570848,0.92773087,0.8125,0.7857142859999999,1.0,1.0,1.0,0.90625,0.9
47,c,,None,correct,correct,correct,,,,lines ending with the string <M0>,( . * ) ( <M0> ),以字符串<M0>结尾的行,line ending with the string <M0>,( . * ) ( <M0> ),0.96969697,0.997888068,0,1.0,1.0,0.995511466,0.992658358,0.919435397,0.927539743,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,p,plural,p,bug,bug,bug,,,,lines with a capital letter followed by the string <M0>,[ <CAP> ] . * <M0> . *,带有大写字母的行，后跟字符串<M0>,lines with capital letters followed by the string <M0>,[ <CAP> ] . * <M0> . *,0.945454545,0.968321014,1,0.956521739,0.947368421,0.993519532,0.986465697,0.919330506,0.927391738,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,FW,FW,FW,bug,bug,bug,affiliation,order,affiliation,"strings with a letter followed by a lower-case letter , zero or more times",( [ <LET> ] . * [ <LOW> ] . * ) *,字符串，其后跟一个小写字母的字母，零次或多次,"string , followed by a letter with a lowercase letter , zero or more times",( . * [ <LET> ] . * ) | ( ( [ <LOW> ] . * [ <LET> ] . * ) ),0.689189189,0.6557692860000001,5,0.7826086959999999,0.7368421059999999,0.978201753,0.938844738,0.919009156,0.926938299,0.444444444,0.365079365,0.65693,0.65693,0.65693,0.550687222,0.5207330370000001
50,p,plural,p,bug,bug,bug,,,,lines containing a lower-case letter followed by the string <M0> or the string <M1>,. * ( [ <LOW> ] . * <M0> . * ) | ( <M1> ) . *,包含小写字母的行，后跟字符串<M0>或字符串<M1>,"lines containing lowercase letters , followed by the string <M0> or the string <M1>",. * ( [ <LET> ] . * <M0> . * ) | ( <M1> ) . *,0.927710843,0.9466800679999999,2,0.913043478,0.894736842,0.979070518,0.941545614,0.918692532,0.92649153,0.9375,0.9285714290000001,0.594259,0.594259,0.594259,0.7658795,0.750271467
51,c,,None,correct,correct,correct,,,,"lines not having characters , a lower-case letter , or numbers",~ ( ( . ) + | ( [ <LOW> ] ) | ( [ <NUM> ] ) + ),没有字符，小写字母或数字的行,"lines without characters , lowercase letters or numbers",~ ( ( . ) + | ( [ <LET> ] ) + ) | ( [ <NUM> ] ) +,0.790322581,0.779115714,9,0.608695652,0.52631579,0.9296611990000001,0.787938543,0.677093899,0.585585848,0.764705882,0.731092437,0.9996,0.9996,0.9996,0.882152941,0.874296471
52,p,,p,bug,correct,bug,,,,rows not having the string <M0> or a character followed by lettered words,( ~ ( <M0> ) ) | ( . . * [ <LET> ] . * ),没有字符串<M0>或字符后跟字母单词的行,lines without string <M0> or characters followed by letter words,( ~ ( <M0> ) ) | ( . . * [ <LET> ] . * ),0.7260273970000001,0.700698673,9,0.608695652,0.52631579,0.9175479009999999,0.7502798940000001,0.6771172520000001,0.5856188,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,p,plural,p,bug,bug,bug,,,,lines with words that have a character or the string <M0> before the string <M1>,\ b ( . ) | ( ( <M0> ) . * ( <M1> ) . * ) \ b,在字符串<M1>之前带有字符或字符串<M0>的单词的行,rows of words with characters or strings <M0> before the string <M1>,"( ( ( . ) + { 6 , } ) . * ( <M1> ) . * \ b )",0.7125,0.6842001059999999,7,0.695652174,0.6315789479999999,0.97165811,0.918501413,0.6771287340000001,0.5856350020000001,0.5555555560000001,0.49206349200000005,False,0.0,0.0,0.27777777800000003,0.22962963
54,c,ambiguity,None,correct,bug,correct,,,,lines not having the string <M0> or starting with the string <M1>,( ~ ( <M0> ) ) | ( ( <M1> ) ( . * ) ),没有字符串<M0>或以字符串<M1>开头的行,no string <M0> or lines starting with string <M1>,( <M0> ) | ( ( <M1> ) ( . * ) ),0.569230769,0.509463081,7,0.695652174,0.6315789479999999,0.98415816,0.957362423,0.677295953,0.585870955,0.8125,0.7857142859999999,0.0,0.0,0.0,0.40625,0.36666666700000006
